,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
260,brasileiro-a,2017,4,05-06,Bahia,Atlético-GO,3,0,MANDANTE
261,brasileiro-a,2017,4,04-06,Cruzeiro,Chapecoense,0,2,VISITANTE
262,brasileiro-a,2017,4,04-06,Grêmio,Vasco,2,0,MANDANTE
263,brasileiro-a,2017,4,04-06,Palmeiras,Atlético-MG,0,0,EMPATE
264,brasileiro-a,2017,4,04-06,Ponte Preta,São Paulo,1,0,MANDANTE
265,brasileiro-a,2017,4,04-06,Avaí,Sport Recife,1,0,MANDANTE
266,brasileiro-a,2017,4,04-06,Flamengo,Botafogo,0,0,EMPATE
267,brasileiro-a,2017,4,03-06,Corinthians,Santos,2,0,MANDANTE
268,brasileiro-a,2017,4,03-06,Fluminense,Vitória,2,1,MANDANTE
269,brasileiro-a,2017,4,03-06,Coritiba,Atlético-PR,1,0,MANDANTE
270,brasileiro-a,2017,3,29-05,Chapecoense,Avaí,2,0,MANDANTE
271,brasileiro-a,2017,3,28-05,Botafogo,Bahia,1,0,MANDANTE
272,brasileiro-a,2017,3,28-05,Sport Recife,Grêmio,4,3,MANDANTE
273,brasileiro-a,2017,3,28-05,Atlético-GO,Corinthians,0,1,VISITANTE
274,brasileiro-a,2017,3,28-05,Atlético-PR,Flamengo,1,1,EMPATE
275,brasileiro-a,2017,3,28-05,Santos,Cruzeiro,0,1,VISITANTE
276,brasileiro-a,2017,3,28-05,Atlético-MG,Ponte Preta,2,2,EMPATE
277,brasileiro-a,2017,3,27-05,Vitória,Coritiba,0,1,VISITANTE
278,brasileiro-a,2017,3,27-05,São Paulo,Palmeiras,2,0,MANDANTE
279,brasileiro-a,2017,3,27-05,Vasco,Fluminense,3,2,MANDANTE
280,brasileiro-a,2017,2,22-05,São Paulo,Avaí,2,0,MANDANTE
281,brasileiro-a,2017,2,21-05,Sport Recife,Cruzeiro,1,1,EMPATE
282,brasileiro-a,2017,2,21-05,Botafogo,Ponte Preta,2,0,MANDANTE
283,brasileiro-a,2017,2,21-05,Atlético-MG,Fluminense,1,2,VISITANTE
284,brasileiro-a,2017,2,21-05,Atlético-PR,Grêmio,0,2,VISITANTE
285,brasileiro-a,2017,2,21-05,Vitória,Corinthians,0,1,VISITANTE
286,brasileiro-a,2017,2,21-05,Vasco,Bahia,2,1,MANDANTE
287,brasileiro-a,2017,2,20-05,Atlético-GO,Flamengo,0,3,VISITANTE
288,brasileiro-a,2017,2,20-05,Chapecoense,Palmeiras,1,0,MANDANTE
289,brasileiro-a,2017,2,20-05,Santos,Coritiba,1,0,MANDANTE
290,brasileiro-a,2017,1,15-05,Coritiba,Atlético-GO,4,1,MANDANTE
291,brasileiro-a,2017,1,14-05,Grêmio,Botafogo,2,0,MANDANTE
292,brasileiro-a,2017,1,14-05,Avaí,Vitória,0,0,EMPATE
293,brasileiro-a,2017,1,14-05,Bahia,Atlético-PR,6,2,MANDANTE
294,brasileiro-a,2017,1,14-05,Cruzeiro,São Paulo,1,0,MANDANTE
295,brasileiro-a,2017,1,14-05,Palmeiras,Vasco,4,0,MANDANTE
296,brasileiro-a,2017,1,14-05,Ponte Preta,Sport Recife,4,0,MANDANTE
297,brasileiro-a,2017,1,14-05,Fluminense,Santos,3,2,MANDANTE
298,brasileiro-a,2017,1,13-05,Corinthians,Chapecoense,1,1,EMPATE
299,brasileiro-a,2017,1,13-05,Flamengo,Atlético-MG,1,1,EMPATE
