,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
185,185,brasileiro-a,2017,27,11-10,Atlético-PR,Atlético-GO,2,2,EMPATE,10.0,20.0,0.67,0.27,0.53,0.57
186,186,brasileiro-a,2017,27,11-10,Botafogo,Chapecoense,2,1,MANDANTE,6.0,13.0,0.47,0.8,0.37,0.53
187,187,brasileiro-a,2017,28,07-10,Cruzeiro,Ponte Preta,2,1,MANDANTE,5.0,17.0,0.33,0.87,0.33,0.7
188,188,brasileiro-a,2017,26,02-10,Ponte Preta,Flamengo,1,0,MANDANTE,15.0,7.0,0.67,0.27,0.47,0.33
189,189,brasileiro-a,2017,26,01-10,Atlético-PR,Atlético-MG,0,2,VISITANTE,8.0,9.0,0.33,0.33,0.37,0.57
190,190,brasileiro-a,2017,26,01-10,Avaí,Atlético-GO,0,2,VISITANTE,18.0,20.0,0.47,0.6,0.47,0.53
191,191,brasileiro-a,2017,26,01-10,Botafogo,Vitória,2,3,VISITANTE,6.0,11.0,0.67,0.8,0.57,0.57
192,192,brasileiro-a,2017,26,01-10,Cruzeiro,Corinthians,1,1,EMPATE,5.0,1.0,0.27,0.87,0.57,0.6
193,193,brasileiro-a,2017,26,01-10,Grêmio,Fluminense,1,0,MANDANTE,3.0,16.0,0.27,0.27,0.33,0.4
194,194,brasileiro-a,2017,26,01-10,São Paulo,Sport Recife,1,0,MANDANTE,14.0,17.0,0.07,0.4,0.2,0.43
